Pokémon cards,Mulligan chance (%)
1,88.51
2,77.19
3,68.57
4,60.41
5,51.93
6,45.78
7,40.07
8,34.92
9,29.62
10,25.19
11,22.09
12,19.36
13,16.63
14,13.06
15,12.09
16,10.28
17,8.16
18,7.03
19,5.78
20,5.18
21,3.99
22,3.08
23,2.52
24,2.25
25,1.60
26,1.49
27,1.36
28,0.78
29,0.80
30,0.49
31,0.27
32,0.27
33,0.31
34,0.20
35,0.14
36,0.13
37,0.08
38,0.01
39,0.02
40,0.03
41,0.00
42,0.01
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
